iter	RMSE
120	0.6306318978
121	0.626412756
122	0.6217990527
123	0.6176218688
124	0.6119282751
125	0.6088883024
126	0.6055982281
127	0.6012681841
128	0.597682254
129	0.5941094045
130	0.5901531408
131	0.586122537
132	0.5825822553
133	0.5786780973
134	0.5761090425
135	0.5716664822
136	0.5671172685
137	0.5640199189
138	0.5601094751
139	0.5565852887
140	0.5528158242
141	0.5495981703
142	0.5459796491
143	0.5430921001
144	0.5396999297
145	0.5371424298
146	0.5342131825
147	0.5310006761
148	0.5279897136
149	0.5247480671
150	0.5220195363
151	0.5191079455
152	0.5162147081
153	0.5128030548
154	0.5091199757
155	0.506404771
156	0.5028248001
157	0.4996225945
158	0.496516865
159	0.4938683424
160	0.4911495083
161	0.4887994447
162	0.486056163
163	0.4844017522
164	0.4821846592
165	0.4789653465
166	0.4768369132
167	0.4737724226
168	0.4715775241
169	0.4693500505
170	0.46770791
171	0.4647243929
172	0.462037964
173	0.4598470255
174	0.4564240866
175	0.4535020145
176	0.4516850057
177	0.4500449072
178	0.4483355233
179	0.446579508
180	0.4448616775
181	0.4420205438
182	0.4400854399
183	0.4381485276
184	0.4365325072
185	0.4345496176
186	0.4325932132
187	0.430502251
188	0.429081374
189	0.4278240981
190	0.4265288575
191	0.4250561815
192	0.4219589323
193	0.4206234281
194	0.4182075748
195	0.4165750928
196	0.4147357908
197	0.4116122121
198	0.4104822084
199	0.4094720954
200	0.4075003591
201	0.4055579065
202	0.4038059703
203	0.4021459287
204	0.4006421718
205	0.3988192446
206	0.3973137044
207	0.3950381633
208	0.393830295
209	0.3922026207
210	0.3906661521
211	0.3893837145
212	0.3882114476
213	0.3866352879
214	0.3849892353
215	0.3836277069
216	0.3817603894
217	0.3806965927
218	0.3797664149
219	0.3788746998
220	0.3779826159
221	0.3766811167
222	0.3751182753
223	0.3737562709
224	0.3722092942
225	0.370921625
226	0.3699866527
227	0.3690765397
228	0.3675739741
229	0.3668460327
230	0.3658020332
231	0.3642196114
232	0.3616865314
233	0.3609902931
234	0.3596572103
235	0.3584261728
236	0.3576883768
237	0.3569512049
238	0.3556013347
239	0.3541367641
240	0.3534332379
241	0.3521342871
242	0.3506981334
243	0.3500540678
244	0.3481344691
245	0.346427787
246	0.3449349204
247	0.3438598181
248	0.3427263643
249	0.3415569529
250	0.3409369985
251	0.3393852221
252	0.3377369631
253	0.3372146413
254	0.3362883836
255	0.3355136975
256	0.3344786825
257	0.3333067555
258	0.332735954
259	0.3316245776
260	0.3308990503
261	0.3302285589
262	0.3298037699
263	0.3285001072
264	0.326192911
265	0.3247483249
266	0.3235960787
267	0.321478634
268	0.3207339824
269	0.3201908281
270	0.3196881901
271	0.3187501993
272	0.3182735912
273	0.3161510053
274	0.3147335593
275	0.3142043809
276	0.3137576222
277	0.3129259183
278	0.3125413984
279	0.3118775892
280	0.3115415262
281	0.3109087027
282	0.3105081793
283	0.3087465251
284	0.3076164441
285	0.30726366
286	0.3056444305
287	0.3043737
288	0.3033227721
289	0.3028873799
290	0.3018062453
291	0.3011837977
292	0.3006357433
293	0.2998235932
294	0.2982668029
295	0.296941166
296	0.2959981812
297	0.2954244785
298	0.295000164
299	0.2936008579
300	0.2930884281
301	0.2926396478
302	0.2919079859
303	0.2914016825
304	0.2903612778
305	0.2898055366
306	0.2888673189
307	0.2877863491
308	0.2872493711
309	0.2867476823
310	0.2863331792
311	0.2858911656
312	0.2854096036
313	0.2844292146
314	0.2840776505
315	0.2828361945
316	0.2819910368
317	0.2810678069
318	0.2808232881
319	0.2799560491
320	0.27916318
321	0.277998091
322	0.2768895048
323	0.2765744654
324	0.2756671702
325	0.2753061581
326	0.2748056059
327	0.2742934614
328	0.2738527972
329	0.2735044456
330	0.2731188359
331	0.2722859817
332	0.271103215
333	0.270767693
334	0.2698579409
335	0.2692640801
336	0.2689302428
337	0.2683222881
338	0.2676186958
339	0.2667933195
340	0.266387123
341	0.2656066978
342	0.2651002211
343	0.264818563
344	0.2638140073
345	0.2634104122
346	0.2627875952
347	0.2625419759
348	0.2622518734
349	0.2613530267
350	0.2607144437
351	0.2599825703
352	0.2597031488
353	0.2589750797
354	0.2580537961
355	0.2576120151
356	0.2567414998
357	0.2563511504
358	0.2555821532
359	0.2547614366
360	0.2545370796
361	0.2542797713
362	0.2538901424
363	0.2532289598
364	0.2524638036
365	0.2521393206
366	0.2515029566
367	0.2509139777
368	0.2503031404
369	0.2499055107
370	0.2491931227
371	0.2487916332
372	0.2484042473
373	0.2478310376
374	0.2475694387
375	0.2473768494
376	0.2471094828
377	0.2463875773
378	0.2461599642
379	0.2456773169
380	0.24550826
381	0.2446627746
382	0.2440857853
383	0.2434760702
384	0.2428093405
385	0.2423853133
386	0.241803059
387	0.2413496155
388	0.241038285
389	0.2404180399
390	0.2398077678
391	0.2394409908
392	0.2388985492
393	0.2384189083
394	0.238052228
395	0.2377024547
396	0.2372048397
397	0.2366090773
398	0.2359713183
399	0.2354932916
400	0.2350220044
401	0.2347725217
402	0.2340939599
403	0.2335348215
404	0.2332116702
405	0.2328755657
406	0.2326391843
407	0.2323466875
408	0.2315159544
409	0.2313140783
410	0.2308093804
411	0.2305978768
412	0.2304036011
413	0.2300923107
414	0.2296948448
415	0.2293074017
416	0.2289322242
417	0.2285469296
418	0.2283024822
419	0.2274456694
420	0.2270536296
421	0.2266183939
422	0.2263165671
423	0.2257154327
424	0.2254560276
425	0.2251466068
426	0.2249565642
427	0.2246040329
428	0.2242268903
429	0.2239813659
430	0.2236648364
431	0.2231613132
432	0.2229868258
433	0.2225158798
434	0.2221716624
435	0.2214043262
436	0.2209838585
437	0.2207000918
438	0.2202322976
439	0.2198534222
440	0.2194655206
441	0.219226394
442	0.2190390905
443	0.2189688496
444	0.2182217499
445	0.2178047521
446	0.2177419755
447	0.2174572581
448	0.2171809982
449	0.2168144714
450	0.2165948102
451	0.216067128
452	0.2159089369
453	0.21557866
454	0.215111307
455	0.2148588198
456	0.2147066946
457	0.2143264176
458	0.2139419879
459	0.2136023642
460	0.2133676377
461	0.2130275031
462	0.2124683256
463	0.2122625904
464	0.2120261317
465	0.2117312905
466	0.2113871357
467	0.2109892098
468	0.2108785645
469	0.2107874978
470	0.2105949843
471	0.2103783803
472	0.209852112
473	0.2096397191
474	0.2093101188
475	0.2091307833
476	0.2088725319
477	0.2086940813
478	0.2084632854
479	0.208106381
480	0.2080471073
481	0.2074266069
482	0.2070025095
483	0.2068513279
484	0.206548264
485	0.2062812173
486	0.206023815
487	0.2057918527
488	0.2054704141
489	0.2051465676
490	0.2049697381
491	0.2044756043
492	0.2041674
493	0.2039231663
494	0.2037952083
495	0.2035393679
496	0.2033481765
497	0.2029723457
498	0.2027713016
499	0.2022653893
500	0.20200111
501	0.2016806162
502	0.2015136056
503	0.2011357798
504	0.2009480279
505	0.2008075449
506	0.2006625564
507	0.2004424892
508	0.2001525665
509	0.1999159038
510	0.1996581375
511	0.1995413291
512	0.1990635024
513	0.1988845962
514	0.1987293986
515	0.1985850733
516	0.1984870344
517	0.1982520781
518	0.1980547118
519	0.1976525596
520	0.1973439876
521	0.1971744861
522	0.1969877139
523	0.1969383544
524	0.1966122665
525	0.1962181899
526	0.1960100368
527	0.1958519108
528	0.1956973874
529	0.1954067651
530	0.1951678915
531	0.1949960593
532	0.1946934239
533	0.1943496894
534	0.1942124836
535	0.1940011112
536	0.1934919718
537	0.1933677009
538	0.1931505958
539	0.1930252356
540	0.1927483398
541	0.1925691968
542	0.1923479173
543	0.1920270294
544	0.1917127925
545	0.1913187805
546	0.1911861224
547	0.1910799256
548	0.1909916284
549	0.1909115693
550	0.1906961405
551	0.1905320957
552	0.1901017057
553	0.1899710496
554	0.1896789832
555	0.1895614134
556	0.1894496155
557	0.1892427794
558	0.1890784773
559	0.1887669211
560	0.1884620638
561	0.188029915
562	0.1877712959
563	0.187642041
564	0.1876099161
565	0.1874133584
566	0.1871609897
567	0.1870982223
568	0.1869918649
569	0.1867725039
570	0.1865848196
571	0.1863394516
572	0.1861390048
573	0.1860635563
574	0.1858477529
575	0.1856588349
576	0.1855319283
577	0.1854098483
578	0.18531167
579	0.1849536769
580	0.1848846512
581	0.1846968749
582	0.1845444195
583	0.1843767585
584	0.1841423254
585	0.1838767277
586	0.1837626657
587	0.183688578
588	0.1834097904
589	0.1830217419
590	0.1829383927
591	0.1827777837
592	0.1824719214
593	0.1822756907
594	0.1821662807
595	0.182102975
596	0.1819431944
597	0.1818211969
598	0.1816291218
599	0.1814070396
600	0.1813611706
601	0.1811450926
602	0.1810365731
603	0.1808119007
604	0.180638119
605	0.1805445452
606	0.180385836
607	0.1800820505
608	0.1800205553
609	0.1799370645
610	0.1796439281
611	0.1795639306
612	0.1793879754
613	0.1792119524
614	0.1790835311
615	0.1788562935
616	0.1786749814
617	0.1785056362
618	0.1784303106
619	0.1782777131
620	0.1782052116
621	0.178065391
622	0.1779502775
623	0.1777348589
624	0.177580689
625	0.1774053997
626	0.1772520577
627	0.1770496237
628	0.1769086933
629	0.176871135
630	0.1766017429
631	0.1765372228
632	0.1764176509
633	0.1763427377
634	0.1762286743
635	0.1760982268
636	0.1757862862
637	0.1757302075
638	0.1755405106
639	0.1753321514
640	0.1750795099
641	0.1749768997
642	0.1747761754
643	0.1746481408
644	0.1745201225
645	0.1743561974
646	0.174145635
647	0.17407935
648	0.1739450449
649	0.1738814567
650	0.1735904369
651	0.1735747682
652	0.1733422509
653	0.1731952112
654	0.1730678389
655	0.1728852576
656	0.1728082297
657	0.1726502972
658	0.1725622402
659	0.1724047493
660	0.172183402
661	0.172098368
662	0.1719381219
663	0.1717698814
664	0.1716494503
665	0.1715753924
666	0.1714011547
667	0.1713456917
668	0.1712237876
669	0.1710800164
670	0.170931422
671	0.1707389129
672	0.1706562268
673	0.1705031664
674	0.1702707093
675	0.170139795
676	0.1699910668
677	0.169891619
678	0.1697967881
679	0.1696477899
680	0.1695339515
681	0.1692959219
682	0.1692286769
683	0.168877542
684	0.168817099
685	0.1687512303
686	0.168610102
687	0.1685193372
688	0.1684775026
689	0.1684429576
690	0.1681872422
691	0.1680504682
692	0.1677565927
693	0.167713155
694	0.1675035242
695	0.1673320554
696	0.1671245267
697	0.166964717
698	0.1668951826
699	0.1667574997
700	0.1665732749
701	0.1664507744
702	0.1663112892
703	0.1660876782
704	0.1659046155
705	0.1657612177
706	0.1656778747
707	0.1655304243
708	0.1652223808
709	0.1650344245
710	0.1647696027
711	0.1646136782
712	0.1645399606
713	0.1644186922
714	0.1642757922
715	0.164200954
716	0.1641022539
717	0.1639119976
718	0.1638238899
719	0.1637387774
720	0.1636790598
721	0.1635942638
722	0.1634667555
723	0.1632447907
724	0.1631197854
725	0.1630010924
726	0.1628860707
727	0.1627340102
728	0.1626460114
729	0.1626129127
730	0.1623579351
731	0.1623042495
732	0.1621532412
733	0.1620575667
734	0.1619889659
735	0.1618543003
736	0.1616862147
737	0.1616429645
738	0.1615843069
739	0.1615107502
740	0.1613912772
741	0.1613359126
742	0.1612615993
743	0.161253514
744	0.1611558847
745	0.161070306
746	0.160924459
747	0.160719343
748	0.1606104684
749	0.16055102
750	0.1603278798
751	0.1599999894
752	0.159908988
753	0.1598300534
754	0.1597505954
755	0.1596354934
756	0.1595290986
757	0.1595070409
758	0.1593903166
759	0.1593146174
760	0.1592466788
761	0.1591330481
762	0.1590585999
763	0.1590214597
764	0.1588807138
765	0.1587419702
766	0.158657685
767	0.1584650673
768	0.1583678805
769	0.1581995031
770	0.158131433
771	0.1580215922
772	0.1579571817
773	0.1578247958
774	0.1577282033
775	0.1576622919
776	0.1576059083
777	0.1575520724
778	0.157479455
779	0.1572277313
780	0.157121795
781	0.1570085574
782	0.1569747518
783	0.156829439
784	0.1566717668
785	0.1566375842
786	0.1566032436
787	0.1563780746
788	0.1563429013
789	0.156122029
790	0.156120767
791	0.1560611238
792	0.1559598092
793	0.1557714777
794	0.1556591244
795	0.1555857207
796	0.1555125674
797	0.1554555921
798	0.1553256381
799	0.1552827493
800	0.1551957879
801	0.1549933302
802	0.1548998355
803	0.154826922
804	0.1547415412
805	0.1546444742
806	0.1545653013
807	0.154537726
808	0.1544462356
809	0.1543363159
810	0.1542575082
811	0.1542278002
812	0.1539942522
813	0.1538904343
814	0.1538291469
815	0.1536997539
816	0.153659872
817	0.1535907575
818	0.1534474703
819	0.1534189349
820	0.1533654121
821	0.1532193697
822	0.1531286366
823	0.1530922825
824	0.1530004454
825	0.1528797028
826	0.1528400324
827	0.1527541489
828	0.1526728356
829	0.152544538
830	0.152501808
831	0.1524151328
832	0.1523634469
833	0.1522569292
834	0.1521217659
835	0.1520613704
836	0.1520338947
837	0.1519979736
838	0.1518966075
839	0.1518120451
840	0.1517757111
841	0.1516047525
842	0.1515840839
843	0.1513757303
844	0.1512616131
845	0.1511904324
846	0.1510965526
847	0.1509965325
848	0.150919342
849	0.1507972445
850	0.1507514869
851	0.1506341874
852	0.150471535
853	0.150441753
854	0.1503422517
855	0.1502228213
856	0.1501875125
857	0.1500533091
858	0.1499911431
859	0.1498288468
860	0.1498130842
861	0.1497761153
862	0.1496462098
863	0.149501607
864	0.1494520001
865	0.1493825317
866	0.1492296508
867	0.1492070691
868	0.1490907052
869	0.1490533484
870	0.1489639366
871	0.1489285446
872	0.1488216606
873	0.1487674522
874	0.1486840596
875	0.1486448229
876	0.148596797
877	0.148593406
878	0.1482537398
879	0.14818454
880	0.1481080047
881	0.1480115172
882	0.1479516006
883	0.1478699794
884	0.1477518999
885	0.1476456573
886	0.1476078649
887	0.1475554591
888	0.1474102548
889	0.1473917933
890	0.1473432133
891	0.1471491131
892	0.1470690461
893	0.1469898958
894	0.1469266243
895	0.1469253094
896	0.1468986112
897	0.1468267093
898	0.1466696399
899	0.1465787162
900	0.1464385041
901	0.1464103873
902	0.1463857154
903	0.1462856136
904	0.1461486111
905	0.1460910491
906	0.1460719171
907	0.1459841063
908	0.1459211815
909	0.1458788698
910	0.145685018
911	0.1456191392
912	0.1455915959
913	0.145569166
914	0.1455279979
915	0.1454406738
916	0.1453039884
917	0.1451917976
918	0.1450789809
919	0.1450305906
920	0.1450086611
921	0.1449345859
922	0.1449195129
923	0.1448209501
924	0.144766858
925	0.1447220683
926	0.1446494778
927	0.1446087828
928	0.1444761775
929	0.1444293064
930	0.1443554308
931	0.1441863668
932	0.1440843284
933	0.1440206368
934	0.1439708619
935	0.1438968052
936	0.1438478776
937	0.1437432434
938	0.1436057151
939	0.1435211272
940	0.1435003077
941	0.1434426171
942	0.1433418591
943	0.1432191084
944	0.1431892954
945	0.1431644567
946	0.143111701
947	0.1430900053
948	0.1429647332
949	0.1429151876
950	0.1428451725
951	0.14278015
952	0.1426915464
953	0.1426699816
954	0.1426687872
955	0.1426223459
956	0.1425264213
957	0.1424662427
958	0.1424267379
959	0.1423245599
960	0.1423156663
961	0.1421377994
962	0.1420829227
963	0.1420635438
964	0.1420215187
965	0.1419255091
966	0.1418106189
967	0.1417150304
968	0.1416597711
969	0.1416089899
970	0.1415028566
971	0.1414986526
972	0.1414844604
973	0.1413840799
974	0.1412713496
975	0.1411280905
976	0.1410967512
977	0.1410055012
978	0.1409500372
979	0.1408794844
980	0.1407710973
981	0.1407258441
982	0.1406676891
983	0.1406427736
984	0.1405904618
985	0.1405024163
986	0.1404436246
987	0.1403165161
988	0.1402625452
989	0.1401319899
990	0.1400067354
991	0.1399635118
992	0.1399427292
993	0.1398265203
994	0.1397582504
995	0.1396891895
996	0.1396575942
997	0.1395952648
998	0.1395339647
999	0.139427192
